"sigla_tribunal","procedimento","ramo_justica","sigla_grau","uf_oj","municipio_oj","id_ultimo_oj","nome","mesano_cnm1","mesano_sent","casos_novos_2026","julgados_2026","prim_sent2026","suspensos_2026","dessobrestados_2026","cumprimento_meta1","distm2_a","julgm2_a","suspm2_a","cumprimento_meta2a","distm2_ant","julgm2_ant","suspm2_ant","desom2_ant","cumprimento_meta2ant","distm4_a","julgm4_a","suspm4_a","cumprimento_meta4a","distm4_b","julgm4_b","suspm4_b","cumprimento_meta4b"
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","ABAETÉ",15667,"1ª ZONA ELEITORAL - ABAETÉ","Dez 2025","Dez 2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","ABAETÉ",15667,"1ª ZONA ELEITORAL - ABAETÉ","Dez 2025","Jun 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","ABAETÉ",15667,"1ª ZONA ELEITORAL - ABAETÉ","Dez 2025","Nov 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","ABAETÉ",15667,"1ª ZONA ELEITORAL - ABAETÉ","Dez 2025","Nov 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","ABAETÉ",15667,"1ª ZONA ELEITORAL - ABAETÉ","Dez 2025","Nov 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","ABRE CAMPO",15674,"2ª ZONA ELEITORAL - ABRE CAMPO","Dez 2025","Ago 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","ABRE CAMPO",15674,"2ª ZONA ELEITORAL - ABRE CAMPO","Dez 2025","Dez 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","ABRE CAMPO",15674,"2ª ZONA ELEITORAL - ABRE CAMPO","Dez 2025","Mai 2011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","ABRE CAMPO",15674,"2ª ZONA ELEITORAL - ABRE CAMPO","Dez 2025","Mar 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","ABRE CAMPO",15674,"2ª ZONA ELEITORAL - ABRE CAMPO","Dez 2025","Set 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","AGUAS FORMOSAS",15673,"4ª ZONA ELEITORAL - ÀGUAS FORMOSAS","Dez 2025","Jan 2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","AGUAS FORMOSAS",15673,"4ª ZONA ELEITORAL - ÀGUAS FORMOSAS","Dez 2025","Nov 2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","AGUAS FORMOSAS",15673,"4ª ZONA ELEITORAL - ÀGUAS FORMOSAS","Dez 2025","Out 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","AIMORES",15675,"5ª ZONA ELEITORAL - AIMORÉS","Dez 2025","Abr 2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","AIMORES",15675,"5ª ZONA ELEITORAL - AIMORÉS","Dez 2025","Ago 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","AIMORES",15675,"5ª ZONA ELEITORAL - AIMORÉS","Dez 2025","Dez 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","AIMORES",15675,"5ª ZONA ELEITORAL - AIMORÉS","Dez 2025","Fev 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","AIMORES",15675,"5ª ZONA ELEITORAL - AIMORÉS","Dez 2025","Jan 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","AIMORES",15675,"5ª ZONA ELEITORAL - AIMORÉS","Dez 2025","Jul 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","AIMORES",15675,"5ª ZONA ELEITORAL - AIMORÉS","Dez 2025","Jul 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","AIMORES",15675,"5ª ZONA ELEITORAL - AIMORÉS","Dez 2025","Mai 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","AIMORES",15675,"5ª ZONA ELEITORAL - AIMORÉS","Dez 2025","Mar 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","AIMORES",15675,"5ª ZONA ELEITORAL - AIMORÉS","Dez 2025","NA NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","AIMORES",15675,"5ª ZONA ELEITORAL - AIMORÉS","Dez 2025","Nov 2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","AIMORES",15675,"5ª ZONA ELEITORAL - AIMORÉS","Dez 2025","Nov 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento criminal","Justiça Eleitoral","G1","MG","AIURUOCA",15676,"6ª ZONA ELEITORAL - AIURUOCA","Dez 2025","Fev 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
